Timestamp,Age,Gender,City,Position,Years of experience in EU,Total years of experience,Total annual gross salary in euro,Total annual gross salary in euro a year ago,First salary in EU,,Main language at work,Company size,Company type,Seniority level
30.12.2015 13:16:37,30,Female,Berlin,Senior Consultant big Four ,5,11,52000,50000,32400,2,Deutsch,101-1000,Other,
30.12.2015 13:22:35,35,Male,Berlin,Senior Software Engineer,1,9,62000,62000,62000,1,other,101-1000,Other,
30.12.2015 13:40:05,30,Male,Berlin,System Administrator/Devops,0.696,10,55000,42000,42000,2,English,51-100,Startup,
30.12.2015 13:47:52,34,Male,Berlin,Senior Developer,3,12,72000,64000,54000,1,English,11-50,Product,
30.12.2015 13:54:12,32,Male,Berlin,PPP Team lead,0.5,7,60000,55000,55000,2,English,11-50,Startup,
30.12.2015 14:00:03,25,Male,Berlin,Senior QA Engineer,1,5,40000,-,40000,1,English,101-1000,Product,
30.12.2015 14:34:22,30,Male,Berlin,Data Engineer ,0.5,0.5,60000,60000,60000,1,English,51-100,Product,
30.12.2015 14:40:24,27,Male,Berlin,Senior PHP Developer,3,8,60000,60000,45000,2,English,101-1000,Product,
30.12.2015 14:41:36,33,Male,Dortmund,Senior Software Engineer,1,12,50000,50000,50000,1,English,51-100,Product,
30.12.2015 14:49:01,26,Male,Berlin,Ruby develoer,1,4,48000,42000,42000,1,English,up to 10,Startup,
30.12.2015 15:08:35,31,Male,Berlin,Senior Web Developer,1,8,50000,50000,50000,1,Deutsch,11-50,Startup,
30.12.2015 15:27:57,30,Male,Berlin,Senior PHP developer,2,8,52000,55000,55000,2,English,51-100,Product,
30.12.2015 15:42:54,27,Male,Berlin,Senior Frontend Engineer,1,8,60000,54000,54000,1,English,101-1000,Product,
30.12.2015 15:45:49,31,Male,Berlin,Senior Python Developer,1,8,54000,48000,48000,1,English,11-50,Consulting / Agency,
30.12.2015 16:03:55,34,Male,Berlin,Senior Java Developer,8,14,57000,57000,42000,3,Deutsch,101-1000,Other,
30.12.2015 16:29:09,28,Male,Frankfurt,Ruby developer,0,8,51000,,51000,1,English,51-100,Product,
30.12.2015 16:51:51,26,Male,Berlin,,,,67000,44000,44000,2,English,101-1000,Product,
30.12.2015 17:09:34,29,Male,Berlin,Lead Software Engineer,2.5,9,70000,56000,56000,2,English,101-1000,Other,
30.12.2015 17:30:00,27,Male,Berlin,Senior Android Developer,5,5,72000,60000,,2,English,101-1000,Startup,
30.12.2015 17:59:06,32,Male,Berlin,Senior Product Manager,1,10,65000,65000,65000,1,English,11-50,Product,
30.12.2015 20:11:47,25,Female,Berlin,Junior Python Developer,1,2,38000,10000,10000,2,English,101-1000,Startup,
30.12.2015 20:50:45,30,Male,Berlin,Senior Product Manager,5,10,95000,92000,66000,3,English,101-1000,Startup,
30.12.2015 21:37:10,26,Male,Berlin,Senior iOS Engineer,3,6,85000,85000,46000,2,English,51-100,Product,
30.12.2015 21:41:41,30,Male,Berlin,Senior Lead Software Engineer,"0,5",11,60000,,54000,1,English,11-50,Startup,
30.12.2015 21:42:59,29,Male,,Senior Software Developer,3,9,66000,,45000,3,Deutsch,101-1000,Product,
30.12.2015 21:43:45,25,Male,Berlin,Software Developer,"1,5",4,38400,37200,37200,1,Deutsch,11-50,Other,
30.12.2015 21:52:39,29,Male,,Softwareentwickler im Test,3,6,44000,43000,40000,1,Deutsch,101-1000,Product,
30.12.2015 22:40:17,34,Male,Berlin,Senior Ruby Developer,1,12,56000,48000,48000,1,English,11-50,Product,
30.12.2015 22:59:07,25,Male,Berlin,Senior Ruby Dev,1,7,48000,,48000,1,English,11-50,Product,
30.12.2015 23:06:30,26,Male,Berlin,Embedded Software Engineer,1,4,54000,50000,50000,1,English,11-50,Startup,
30.12.2015 23:42:40,37,Male,Berlin,Senior Algorithmic Developer,2,12,68000,65000,65000,2,English,101-1000,Product,
31.12.2015 1:19:13,37,Male,Berlin,Senior Software Developer,10,12,50000,50000,42000,3,Deutsch,101-1000,Other,
31.12.2015 1:47:21,,Male,,Developer,25,40,40000,40000,,,,,,
31.12.2015 9:59:12,25,Female,Berlin ,Mobile Developer ,4,4,50000,32000,28000,2,English,101-1000,Startup,
31.12.2015 11:05:49,28,Male,Berlin,Senior QA Analyst,1,7,45000,65000,65000,2,English,101-1000,Product,
31.12.2015 13:17:50,30,Male,Berlin,Senior .NET/JS Developer,2,9,44000,38000,36000,1,English,101-1000,Product,
31.12.2015 13:28:57,30,Male,Bonn,Information Security Consultant,3,7,43000,41000,38000,1,Deutsch,51-100,Other,
31.12.2015 14:49:31,31,Female,Berlin,Salesforce Developer,3,7,58000,45000,36000,2,English,101-1000,Startup,
31.12.2015 15:12:47,29,Male,Fürth,Java Developer,5,11,60000,60000,20000,3,Deutsch,11-50,Other,
31.12.2015 17:40:06,29,Male,Berlin,Senior PHP Developer,0,4,48000,22000,48000,1,English,51-100,Startup,
31.12.2015 22:28:18,38,Male,Berlin,Senior Software Engineer,2.5,15,55000,50400,50400,1,English,up to 10,Startup,
01.01.2016 18:26:44,27,Male,Berlin,Senior Java Developer,0.5,7,55000,,55000,1,English,101-1000,Startup,
01.01.2016 20:03:09,26,Male,Munich,Senior Software Engineer,3,9,75000,60000,50000,2,English,101-1000,Product,
01.01.2016 20:08:42,24,Male,Berlin,Software Developer,0,3,52000,52000,52000,1,English,101-1000,Product,
01.01.2016 20:13:58,38,Male,Berlin,frontend developer,0.5,13,53000,50000,50000,1,English,101-1000,Startup,
01.01.2016 20:53:41,32,Male,Berlin,Senior PHP Developer,2,11,60000,50000,50000,2,English,51-100,Product,
01.01.2016 22:25:28,29,Male,Munich,Php developer,1,5,55000,45000,45000,1,English,101-1000,Product,
01.01.2016 22:33:51,26,Male,Munich,Android developer,3,5,63000,52000,44000,2,English,101-1000,Product,
01.01.2016 22:39:35,26,Male,Berlin,Senior PHP Developer,2,6,50000,48000,36000,3,English,101-1000,Product,
01.01.2016 22:45:26,28,Male,Nürnberg,Ruby and Rails Developer,1,9,48000,48000,48000,1,English,101-1000,Product,
01.01.2016 22:51:02,26,Male,Berlin,Senior Frontend Developer,3,5,55000,47000,42000,3,English,11-50,Startup,
01.01.2016 22:57:27,32,Female,Munich,Software engineer,8,8,76000,70000,38000,3,English,51-100,Startup,
01.01.2016 22:58:53,29,Male,Stuttgart,Senior .NET Developer,0,8,60000,,60000,1,Deutsch,up to 10,Other,
